tweets,target
Ã‚Â @dhyeepandya8106Ã‚Â An arrogant person like Modi who hasn't even done a proper press conference in 10 years doesn't even mention Kisikana's name in a normal interview....making fun of this long thing....because he has learned that the name will be important. Ban jaayenge...he is so arrogant...even Modi also takes the name of only one person...again and again...he feels compelled to make fun...because of him. We have to take down our reputationâ€¦..because he is the only one who can challenge usâ€¦.every time Pappu keeps saying Pappuâ€¦.why? Why is he important? He is the only one who can challenge him in whole India for the PM post. That's what Rahul Gandhi is. Who cares or doesn't care.,1
Choose less evil yrr - Think for yourself what has changed from the infrastructure,0
Ã‚Â @thefilmirage5673Ã‚Â But covid has also troubled the country...,0
@bhartipanwar66Ã‚Â our medical infra-shattered but doctors performed phenomenal,1
"@bhartipanwar66Ã‚Â in my way syllabus is from the 19th century, and the teachers came from the 20th, the students are living in continues changing the 21st century. Very unbalanced equation.",1
"You do know times are different. How do you know congress would get you out of unemployment. Unemployment has various factors. Don't just blame it on the party. It's like saying covid has come from the face of Bip. Market is down, population is high as ever.",1
True but integrated by force,1
Integral and Not integrated if that's what you mean. Learn to write correctly at least,0
"Buddy Kashmir is a problem state, I don't think Kashmiri would prefer any other nation than India but to say it's now integrated and was not before is very false. Kashmir valley is, was and will be part of India, but we are also the only nation that recognize our complete sovereignty in that place..",0
â€‹Â @zainrajperÂ BJP doesn't have to field candidates everywhere. Congress has not fielded Canadians everywhere. That doesn't mean anything. Typical Madrasachaap mentality.,0
"Â @VanillevirusÂ ""Learn to write correct at least"", wow what a correction. LOL..",1
"Â @yashagar4443Â my grammar is better than you. But you don't have keen knowledge. If it was, it would be an icing on fire. learn more dear kid",1
"my friend nobody will trouble any minority in india....
 only thing that we dont want is appeasement of particular people ..just for their their votes and not their devlopment...",0
"Salute to you..
 I am a minority but not victim card player..",1
"But not truly & honestly, eg.Right!",1
One sound observer. Need more people like you.,1
India should be renamed as Bharath. Bharath should be declared as Hindu Rashtra. Every body is safe in a Hindu Rashtra. It believes in Inclusion and not like other religions.,1
What kind of minority are you referring to?,1
â€‹Â @wesleyclayton1168Â yes a proud hindu and RSS supporter too,1
"Â @wesleyclayton1168Â Oh yeah! anything that does not suit your narrative is to be tarnished right? OK, tell me what has RSS done bad?",1
Â @dynamiceducation3270Â yes victim card is reserved for bjp supporters,0
I am low caste and I am proud to be a Hindu and Indian,1
First minority person with brains,1
"See how they intentionally manipulate people like that, it's so easy to catch these hypocrites now a days, I thank Anand ranganathan for this",1
"Â @samsue2600Â Jai shree ram
 Bhai this Saba naqvi is lying through out the video, saying congress account frozen but not mentioning why, kejriwal is in jail but not mentioning why, she wants politician to roam freely even if they commit crime, what kind of journalism is this chiiiii I would rather sell vegetables on street then live this kind of life with lies",1
"Well of course now a days talking and slogans matters only, this is why he is winning. There is a big difference in saying and doing. Modi is champion in saying, his only job is to blabber.",1
Â @Vasudeva777Â Cool ! We will vote BJP until they remove the Waqf act.,1
"protecting brij bushan, in speech he says if congress wins, they will ram mandir, and when gullu asked about that in interview, he claimed he haven't said anything. you ar praising such lie,and 25% of bjp candidates have come from congress and 94% have criminal charges and you still believe in BJP.",0
"Â @kapil4417037Â yes we still believe in bjp because they got us vande bharat,upi,bullet train,took action after pulwama, make in india, iim and aims, 370 abrogation, railway in kashmir and i can go on unlike spineless congress who were busy in targeting rss after 26/11. But chamchas will still support congress and their freebees and promise of increasing reservation in jobs.",1
They are the new RAVISH KUMAR...,1
Watching closely your enemy is 50% already done..be a proud HINDU..,1
Â @ankitghosh8256Â You mean Rabies Kumar - barking away...,0
Exactly... Thank you,1
Neither do I and many other law abiding citizens,1
Â @vairavanvairavan4844Â why do u hate him?,0
"Â @payyansÂ It's not ""He"" or""him"", It's just ""it"", you have to be careful about your pronouns.",0
Doesn't matter. India is with Modi and Modi is sure,1
"well, democracy lovers usually tend to not like fascists",0
People of India decide which party will be rule not the toilet paper media or LGBT community â€‹Â @aryastark_istakenÂ,0
That's a very bold statement,1
These media are paid by BJP. Modi was not a poor person in his childhood. He was rich.,1
"â€‹Â @SoorajSuseelan10001Â nope,
 His family members are still poor",0
"â€‹Â @SoorajSuseelan10001Â his own brother runs a provision store in his village Vadnagar, his mother was living in a simple house in Village. There is another guy named Yogi Adityanath, his mother and sisters live in Hut and run a small store, he never went to meet them because as a Yogi he can't have any attachments. This is the level of Indic politician, and the opposition has a multi millionaire jerk who doesn't know what he is talking about, he's not even Indian in first place and doesn't know about India, knows only about caste and wants to destroy. the nation by caste politics. The difference in quality is immeasurable.",1
Â @SoorajSuseelan10001Â Tea seller on a railway platform! Modi's mother washed clothes and utensils for other people. Sign of a RICH family!!!,1
"Â @SadguruPrernaTrustÂ There is no evidence of his poverty. Actually he was wealthy. 
 
 Watch Dhruv Rathee s new video on Mr Modi",1
Â @trader626Â Don't simple guess at first and then later use the word FACT in the same sentence. Truth is. Andh bkaht. Modi was a rich guy. Watch again with an open mind,1
Hope he isn't like kaamarajar!! A feudal follower who made IG PM against better people - same IG who went on to be dictatorial and was responsible for heinous crimes against opposition leaders.,1
i think stalin is most popular in tamilnadu,1
Very bold and huge statement,1
â€‹Â @SoorajSuseelan10001Â what about Gandhi dynasty heard an Italian lady has Swiss accounts plundering India no buisness no trade where all riches came from a proud devotee not a chamcha,1
"Â @SoorajSuseelan10001Â Sure, That's why his mom is still in a small house and family is still middle class right?",1
Please don't compare Kamaraj with Modi. Kamaraj is a great leader of Congress who thought of his country and people,1
Sir agree. High time the dynasts and communists of South are replaced with BJP,1
"Â @SoorajSuseelan10001Â Rich with culture and ethics, or leadership?",1
Annamalai IPS is Kamarajar 2.0 in making. Advanced well wishes from a Keralite.,1
"We are all Indians with a common and related civilizational heritage from languages ​​to food to way marriages and ceremonies are conducted, gods and beliefs, our daily lifestyles. Local flavors will always be distinct due to variations of local factors when spread over such a large area, population and timescale. Let us remind ourselves of that and stand for those who give preference to this heritage and commonality to be united against a fractured world. Only we are the last remaining spot of competition and confluence and have been so from the distant past. I urge people to realize that and give it preference over everything else. Nobody or nothing is perfect. But unity and truth will only bring forth the strength in us and the best amongst us. I prefer to see it as Diversity in Unity.
 Politicians, Profiteers and Narrative Spinners who do not want a strong India as it will allow us to take our decisions for ourselves. The power centers of the world will loose their remaining hold over us. Don't let them divide us. Whenever you see people trying to drive wedges between us on region, caste, religion, colour, language and many more stand against them. They are bought stooges and will lead us down in the long run.
 SATYAMEV JAYATE to all brothers and sisters from North, South East and West. We are the remaining sons and daughters of the same Mother. DO NOT FORGET THIS. EVER. ELSE WE WILL BE SLAVES AGAIN.
  Hail Mother India.",1
Â @SoorajSuseelan10001Â In case you chose to be blind then no one can help you. Don't believe me. I am no blind devotee. Check it yourself.,0
No one compare with kamaraj...he built 9 dam TN.he introduced noon meal..he is secular person. Kamaraj may be built 1000 school money spent by Ji advertising and annamalai's rafel watch....pls don't study in whatsapp university,0
Wow tamizhan. Dumeels RIP after reading this,1
"You mean the 500-odd dimwits that will have their door kicked down in no time, while being entirely surveilled by the Verfassungsschutz?
 Have you ever tried the India Google Street View challenge?",0
â€‹Â @VanillevirusÂ at least they have toilets,0
â€‹Â @3000HellfireMissilesÂ : 500 odd today 5 million odd in a decade,0
"Â @just_a_turtle_chadÂ Ohh you are that sure, ohh you must be the guy who go for cleaning those toilets..",1
"Â @just_a_turtle_chadÂ 220 M toilets is in India now, How many House is there in your country ??",1
â€‹Â @just_a_turtle_chadÂ Are you keeping them clean or not,1
Â @just_a_turtle_chadÂ it is better to live without toilets than to live in a caliphate LOL,1
"Yes, this is a serious issue. And euro nation and whole western media silent on this coming havoc",0
Caliphate is an issue. Doesn't mean this is NOT an issue. You can't even make a proper logical statement.,0
Â @just_a_turtle_chadÂ living without toilet is better then living with them,1
Modi is a great legend of India,1
No this is a good review. No need to be put of y SN.,1
HAHA. exactly,1
I had the same reaction initially but then I stayed to hear her speak what must be difficult for her,0
Its the perfect example of â€œwhy india image like thisâ€ so called free western media using cheap tricks.,1
its all part of the script...try to understand...unless you don't show India/Modi in bad light. This documentary itself wont be funded at first place.,0
"Tit for tat and this never ends. I'm a Hindu and we should have let it go. The country has bigger problems to solve. Of course because politicians realize they canâ€™t solve real issues, they dip into the divisive strategy pool again.",1
"Stood there on its owncame out of Earth n stood there waiting to get demolished by true devotees who sacrificed their lives to reclaim their idol Ram lala,s temple",1
"â€‹Â @saiboddupalliÂ will see if ur familys property in trespassed by few goons n you let it go just like that,leave that it's just a small property
 But this is cultural heritage dude, grow up
 Stop watching too much of Americas webseries, this is India and always will be known for its heritage culture festival and many more",1
"â€‹Â @saiboddupalliÂ ok I understand, but isn't it unfair only Hindus have to ""let it go."" one after the other",0
Fact: He hasn't taken a single day leave in his 10yrs of tenure.,0
The US sees Modi as a rising dictator. A cult of personality. And we are OK with that. As long as he doesn't invade another country. Keep your border with China strong,1
"some people born in 2023 surprisingly you are also one of them ""Joined 11 Nov 2023"", I think your id is creating for supporting Congress hahha",1
"They are not praising, see the complete video, they still singing the same song that pissfools r in danger.",1
"â€‹Â @sushitoyota3191Â 
 THEN THEY MUST ALSO EXPLAIN WHO DECLARED EMERGENCY IN INDIA,AND WHO WAS THE REAL FASCIST",1
Most of this video is a criticism of Modi ji.,1
"They know he will be back in power in 2024. That's why. They played every card to destroy his image, but Indians are not fools.",0
In a very twisted way when they could not find many negatives,0
"dude they are not praising, they have made a propaganda video with subtle messaging. Please use your CS",0
"They're not praising, They've shown both the Bright & Dark side of Mr. Modi, which is not opinionated.
 
 This is the ground reality in India. I heartily appreciate the video.",1
"No they are not, and never will. They only prop up the Abrahamics. Watch carefully.",0
â€‹Â @PhillipBellÂ As us capable to biggest force on ground with nuclear triad and hydrogen weapons,1
At the same time criticizing it asa well plus sending wrong ideas to western people mind,0
"Â @PhillipBellÂ India sees US as a Hegemon, a neo colonial power .As Henry Kissinger once said ""It may be dangerous to be America's enemy, but to be America's friend is fatal."" As long as you don't interfere with our internal matters we are ok with your shenanigans.",0
"Â @surajribas143Â India was called Fragile Economy in 2013, today in Top 5. National Highway made in last 10 yrs than total made between 1947-2013, double MBBS seats, toilets for millions, Bank accounts for millions.... you have no idea.",1
"â€‹Â @sushitoyota3191Â that you are still alive, considering your short memory of jaipur, jodhpur, bodhgaya, German bakery pune, Mumbai train,akshardham, 26/11 , Mumbai riots, muzzefarnagar riots,sikh massacre, Bangalore riots and many more !!!
 Are you missing them?
 Or your pain is lack of adarsh ​​scam, telghi scam, coal scam, Augusta westland scam maharashtra sadan scam, fodar scam, 2G scam?",1
"India that started growing rapidly under Narasimha Rao, and grew phenomenally under Dr. Manmohan Singh from Billion to Trillion..thatâ€™s when India started risingâ€¦
 India is more Oligarchical economy where the rich earn enormously",1
"Â @jithinpoliyedathmohanan7237Â Then, what did Congress do in 60 years, even could not make TOILET for poor? What to do about huge Bank NPA 12%? What to do about massive 9% inflation? UPA era is just a LOST DECADE for India",0
"â€‹Â @sushitoyota3191Â Modi has resolved most of the profound issues being faced by rural India before he took the reins. It included electricity, pipe water and sanitation. He has delivered on all these fonts more than the previous governments, if not entirely. But for Urban people like us national security, Robust foreign Policy and infrastructure development are the reasons why I will vote. for him. You people are far from reality.",1
"â€‹Â @jithinpoliyedathmohanan7237Â Modiji has resolved most of the profound issues being faced by rural India before he took the reins. It included electricity, pipe water and sanitation. He has delivered on all these fonts more than the previous governments, if not entirely. But for Urban people like us national security, Robust foreign Policy and infrastructure development are the reasons why I will vote. for him. You people are far from reality.",1
"â€‹Â @sushitoyota3191Â And how do you compare this with that of the past 70 years of Congress Rule. In 70 years they should have done what Modi did in the past 10 years. But instead Congress slowly killed Indian economy and population by means of thousands of scams and bribes. What do you even know about what has happened to the development, if you would have known you would not have asked such a silly question. Why in 70 years bridges were not built, our border security forces were not connected by roads..tell me... I believe you have no answers to these...",0
Â @purujitparashar4642Â And what ll I do by watching it?? Brother I am from Manipur.. I know who is good and who is lying... dont need to watch anyone..,1
she is intellectually corrupt.,0
She should move to her beloved Pakistan,1
Only the BJP can safe India.,1
"Clean politician. No bias towards any one, be it caste or religion. He lives, breathes for the people of India.",1
"people don't vote congress because they are highly divisive, communal and pro-terr0rist party and we do love our lives..",1
Modi will win because he delivered what he promised.,1
I don't understand what's the issue in being a Hindu nationalist. Hindu is my identity and by Hinduism and my Hindu parents I was taught to live my life for the nation. Jai hind,1
"Missing points - infrastructure, manufacturing push, self-reliance in defense and many more",1
"At least Bharat is saved from Congress for next 5 years.
 i love modi",1
It's surprising that there was no mention of his decisions on national security which is one of the defining moments.,1
PM Modi will be PM till he wants to be PM. Indians will ensure that!,1
Laugh till 4th June Modi will back,1
I'm from village of India and proud of our prime minister,1
Â @saibalsahoo8597Â What if the train blast was an inside job like 9/11 :o,1
Â @DobbieTheSlayerÂ Talking about these Bangalore incidents proves the current government failed to prevent it then. Admit that the current central government also can't do any better than any previous government.,1
Â @DobbieTheSlayerÂ Kerala tops in all index because it wants to spend it for its citizens and of course it needs more money. Would the central government give the same share of taxes to Kerala like it does to UP and Bihar? Can we also talk about the borrowings of the Indian government then?,1
"No it can't it's a social issue not just a political issue 
 Take Temple Freedom as an issue it hasn't had any progress so far.",1
"BJP only can safe Adani Ambani, why didn't he saved Manipur.",1
â Â @Ajmal345Â what Indian economy is fastest growing major economy,1
"India is the largest populated country, so there is no specialty of having growing economy. Problem is who gets the benefits of it, its clear that common people suffering and the millionaire become multi millionaires. 25 people gathered 70 crore people's earnings, we have to campaign per capita income of the country which is far behind than China and other developing countries.",0
â€‹Â @Ajmal345Â How much your community contribute to economy to ask for things,1
â€‹Â @Ajmal345Â Your community pays the lowest tax and consumes the most subsidies. Do you need another 15 lakh rupees? Choose mine.,1
"Â @kinger_harshitÂ It was even before Modi came. Where India is right now, there is so much need of development that the current GDP growth is nothing.",1
â€‹Â @mohamedzamil392Â so go and yell same to opposition there are Hindus also live in india and they always only work for others so why Hindus didn't support bjp,1
"Â @Dr.PKR108Â core basis of formation of pakistan, not india. Same to you. your wordings won't change the reality. Some of the few things which I really considered to be a great achievement was Indian secularism. But maybe some Hindus find Hindu Rashtra more fancy.",1
"â€‹â€‹Â @agfittsÂ You forget women's reservations bill passed,vande bharat trains,highways,Bharat mala & Sagar mala projects,bullet trains, startup India ,100cr toilets,houses by pm gar yojana,cylinders,UPI, free bank accounts for dbt,caa,nrc,ucc,5th largest econom.y",1
"Â @vijaychandra91Â How many achievements can they cover in this short time, and have time to criticize too, with banal comments by people who are ""experts"" only to DW?",1
"2004 petrol price is 33
 2014 petrol price is 72â€‹
 2024 petrol price is 102
 Price increase between 2004 to 14 is more than 100% but price increase between 2014 to 24 is approx 50% only Â @agfittsÂ",1
"Â @agfittsÂ Wasn't this the same mindset that criticized Indian govt. when Pakistan, Sri Lankan fuel prices were lesser to ours, now look at the situation in those countries and how well they maintained their inflation. If CONgress comes to power the same will happen with the 'brilliant' ideas that Rahul Gandhi is spouting today.",1
â€‹Â @agfittsÂ are you educated or just Paid person just go and search first he said right petrol price of india is 72rs in 2014,1
"Money of people of India that is spent on advertisements and photography, videography of Modi made Modi unbeatable. Maybe corrupt system and illiteracy rate played its role as well!! Congo to you though",0
"â€‹Â @gauravgulia4029Â at least they are not into corruptions like Adarsh ​​society, 2G spectrum, Agusta Westland, Bofors, coal scam, commonwealth games scam etc.",0
"25 of BJP candidates moved fron congress and 94% of them have corruption and different criimnal charge, So how can BJP withh all former corrupt congress can save India, your claim is illogical. if BJP wins this time, this would be biggest blunder in history of India",0
"true , they get more views from india than there own country :face-blue-smiling:",1
"â€‹Â @pradeepnair162Â
 Because it's called having Skin in the Game!",0
"india per capita ranking 142, germany per capita income rank 20.. who should focus on country?",0
â€‹Â @msdadsfsxÂ we are capable of focusing on our own country. We don't need western validation for that.,1
"â€‹@msdadsfsx Dude, don't get pulled this false equivalence of per capita income. India's per capita income is $2,731 (nominal; 2024 est.) or $10,123 (PPP; 2024 est.). Now, if you consider the purchasing power parity adjusted per capita income, the figure as given above stands at 10123 USD. This value at the current rate converts to 8,57,978.16 INR. This figure means that on average Indians are making approximately 9Lakhs a year. That is not bad considering almost 70% of Indians live in rural India where the cost of living is less!",0
"Â @neelzd1Â india purchase power per capita ranking is 125, if that's good for u that's ok u have low standards",1
"@msdadsfsxÂ GDP by Purchasing power parity India stands at number 3. I know these economics concepts are not for the weak minded. One needs above average intelligence to understand the data content presented. Never mind, you stick to low rankings figures. May be that's what you normally get",0
"Â @neelzd1Â dude we are 1400 million obviously we will be in the top, what matters is per capita income. In per capita rank is 125 not 3. a family of 10 earning 20,000 and family of 4 earning 18000 who is better economically?",1
"@msdadsfsx The first sentence means you have no understanding of PPP concept. In the 2nd sentence, you are speaking the thing that I was trying to explain even with a large economy (3rd largest by PPP) we are still a relatively poor country mainly due to population size. The point is if every Indian household starts making 10 lakhs a year, we will become a middle income economy, and considering we have socialist government policies, the standard of life for an average Indian would be not bad.",1
"Â @neelzd1Â from government data if u are earning 25k inr per month you are in top 10% of population, only 1% population earns more than 10 lakh a year.",1
"Â @rajesh7280Â My point is this, for the first time in my living memory this is not a report trashing India. And some people are not happy bcoz of that",0
Â @msdadsfsxÂ In other words you did not understand needzd1s maths?,0
Â @msdadsfsxÂ Oh I most certainly do. Please read the message on purchase power parity and understand my message in that context,1
Â @msdadsfsxÂ U got. a point. Will take a long time to undo some historic wrong paths,0
"India ranks third in ""Purchasing Power Parity"". Where does poor Germany stand?â€‹Â @msdadsfsxÂ",0
"Â @LaPlaya-rw1cpÂ per capita ranking is 125 for india.. India population 1400 million, Germany population 60 million, still GDP more than India.. 10 people earning 50k and 1 guy earning 40k, who is richer?",1
"@rajesh7280 No one wants to meddle in Indian affairs. People are interested in what is going on in other parts of the world. I personally think that this DW report is not at all too critical about Modi.
 One of the great achievements of modern India since 1948 is that India has always been a democracy. Indians can truly be proud of this. Just compare it to Pakistan or China! In a democracy you must accept that there are different opinions and views. Do you want conditions like in China or Russia? No opposition permitted, and everyone hails the great leader who is elected with 99.9% of the votes and has nearly unlimited power? DW is an independent organization and no one's mouthpiece. You will find lots of critical reports by DW on German affairs if you look around.",1
"Â @rajesh7280Â They focus on everything. Here protest is a right, protesters take legal permissions and they are granted permissions and even they get security. Not like in India, where all the protesters are called terrorists, separatists, anti-nationals, and treated like enemies",1
"Â @vd1971Â a statement coming from where democracy is in danger. Noone is giving any validation, he is stating a fact. The truth felt bitter",0
"Â @neelzd1Â Again agree with this piece of info. But do you know there is also GDP Purchasing power parity per capita index? There India is at 124th place. So, what do you have to say about that. Again whole GDP without per capita does not make any sense. Maybe your intelligence would be increased after reading this. You are welcome!",1
"Â @gauravgulia4029Â well do I say pessimists and nay sayers would always find a reason to cry. So feel free to have your river of tears flowing, meanwhile the common man of India feels hopeful of the days to come even with all such Indices floating around!",1
The first place in Europe will caliphate will rise. More reason in the future to cry buckets,1
Modi is not saying he will remain PM till 2047. He is laying the foundation for a strong and respected India by 2047. We have enough more leaders to carry the India and the legacy forward.....beyond 2047.,1
"When a critic admires you, it means you are doing great work.",1
"He started off as an office boy then worked from CM to PM. He took every step of the ladder without any shortcuts, without any legacy, without any background. He proved a common man from a humble background can dream of holding highest position in the country. Above all he is pro India. I think this is the reason people elect him not because there is no option.",1
"Factually incorrect narration, you skipped the fact that mosque was built after demolishing a temple. Also you mentioned opposition leaders in jail, why are they in jail, for their wrong doing",0
We are lucky that we got so patriot leader Mr Narendra Modiji,1
"Modi's India is bringing ""ALL"" people along Ms. JAISWAL! I wished you had highlighted the beneficiaries of the many schemes that exactly underlines ""Sab ka Saath, Sab ka Vikas""",1
"why don't you say temple existed where the mosque was there and that was brought down (ofcourse not the best way, cd hv been amicably done given importance of site).. that wd be transparent reporting rather than half baked info.",1
"He changed a massive country drastically in just 10 years. Its unbelievable, he lifted millions out of poverty. Right teamwork and well selection of leaders",1
"Why are countries so much interested in Elections in India?
 
 What's their hidden agenda?",1
"This shows, how much DW knows about India, even after 10 years.",1
"The report just avoided the golden era of transport development with dexterity.....She also avoided the progressive 3 Talaak and UCC issue....She skipped the gigantic infrastructural leap of India.....She skipped ISRO, Vikrant, Tejas, Prachand, Vande Bharat, Bullet Train, enormous chains of Metro Rail projects, and blaa blaa blaa....and she even spoke false as the Delhi Anti CAA riots was an organized systematic riots in which the majority of Hindus were killed. ...",0
"it will likely be democratic, free and fair'- really? So much of stomach burning that entire Europe can use it for your energy needs.",1
"""There is no alternative for the best"", in response to that library lady.",1
Â @gurdevsingh7404Â cry harder kido actually he is saving our tax money by not investing in loss making PSU’s and the level iq u have u can’t understand,0
â€‹Â @luislourenco6720Â why then they don't talk about others ? It's all about interest brothers! They are angry BCz India bought Russian oil and now dealing with Iran in port deal!,0
"India is a powerful country, even if you do not want to believe it. And it will get stronger. PM election of a powerful country is important to the world.",1
"Economy, Germany desperately trying hard stop India taking over them.",0
â€‹Â @PhillipBellÂ No! It's not powerful and our GDP is also low.,0
"Â @YashSharma-iv7okÂ you have more economic power than Great Britain, and almost the same as Germany. You have a strong military and many natural resources. There is still much corruption, and many, many poor people. But India is powerful and will become stronger.",1
â€‹Â @YashSharma-iv7okÂ it's fact and reality. Don't be too much ignorant and don't be lap dog of west media and nations.,1
"Â @Xyz14109Â What I am saying is also a fact. Live in reality, so we can improve.",1
Â @PhillipBellÂ Europe also has many poor. Wake up. And Europe is getting poorer due to sanctions on Russia.,0
Lol 2 of the 3 people running ECI are chosen by Modi. That's just the start of it and there is so much effort being put to make BJP win and still its looking like its a very close fight. Imagine if it was a fair election to begin with.,1
"Â @loki2259Â Assuming all that you are saying is true for 2024 elections. In 2014 & 2019, that wasn't the case, Right? 
 
 How did Congress loose miserably?",0
Mr. Loki - make up your mind. Either the elections are not fair and Modi will win. Or the elections are fair and opposition has a chance. You can't have it both ways.,1
"Â @healthynaturalllyÂ 
 He's definitely rigging it as much as he can. It's up to people to decide how strongly they will resist. You're really ignorant if you think Modi Shah aren't trying to make the election process as one sided as possible. Just look at the kind of speeches they are giving and ECI suddenly wakes up when an opposition member saying something slightly offensive.",1
"Haa haa..someone's been eating a lot of their own dog food recently, it seems to me.",1
"Â @healthynaturalllyÂ
 Ya and apparently they took a s h i t and someone has been eating that",1
"It's a metaphor ..check out what 'eating your own dog food"" means.. for god's sake.. stop stooping so low in discussions!",1
haha ultimate,1
100%- Modi is the best choice- for now.,1
"Most powerful, Strongest, Public Politician from India 
 Narendra Damodar Das Modi 
 Modi Wins, India Wins",1
Crying Anti-Modi and Anti-India Western Media and Leftists. We the patriotic people of India will make sure that our loved Modi ji WIN not only in 2024 but also in 2029,1
"This channel is also like BBC. They call CAA Hindutva agenda, Economist saying house and toilet is not a very important need.",0
